Receptor,X [m],Y [m],Positive Risk Per Million,Neg. Risk Per Million,Net Risk Per Million
515,-1700,1200,0.3224,0.1475,0.1749
628,-2200,500,0.3273,0.1528,0.1745
562,-1900,1100,0.3139,0.1395,0.1744
629,-2200,600,0.3266,0.1522,0.1744
479,-1500,1600,0.3169,0.1426,0.1743
650,-2300,300,0.3174,0.1436,0.1738
630,-2200,700,0.3242,0.1508,0.1734
631,-2200,800,0.3196,0.1464,0.1732
654,-2300,700,0.3132,0.1400,0.1732
608,-2100,900,0.3213,0.1482,0.1731
492,-1600,1300,0.3243,0.1514,0.1729
697,-2500,200,0.2971,0.1242,0.1729
627,-2200,400,0.3266,0.1542,0.1724
586,-2000,1100,0.3026,0.1305,0.1721
538,-1800,1100,0.3218,0.1499,0.1719
678,-2400,700,0.3022,0.1304,0.1718
632,-2200,900,0.3100,0.1382,0.1718
607,-2100,800,0.3287,0.1578,0.1709
673,-2400,200,0.3049,0.1340,0.1709
585,-2000,1000,0.3158,0.1450,0.1708
702,-2500,700,0.2918,0.1219,0.1699
655,-2300,800,0.3056,0.1363,0.1693
584,-2000,900,0.3286,0.1595,0.1691
606,-2100,700,0.3322,0.1631,0.1691
468,-1400,1900,0.3122,0.1432,0.1690
605,-2100,600,0.3337,0.1649,0.1688
469,-1400,2000,0.3083,0.1398,0.1685
561,-1900,1000,0.3240,0.1556,0.1684
478,-1500,1500,0.3205,0.1524,0.1681
609,-2100,1000,0.3034,0.1356,0.1678
626,-2200,300,0.3241,0.1563,0.1678
604,-2100,500,0.3338,0.1662,0.1676
467,-1400,1800,0.3145,0.1476,0.1669
649,-2300,200,0.3118,0.1454,0.1664
613,-2100,1400,0.2609,0.0946,0.1663
612,-2100,1300,0.2679,0.1018,0.1661
491,-1600,1200,0.3276,0.1615,0.1661
514,-1700,1100,0.3274,0.1620,0.1654
614,-2100,1500,0.2532,0.0880,0.1652
679,-2400,800,0.2922,0.1273,0.1649
603,-2100,400,0.3326,0.1684,0.1642
611,-2100,1200,0.2751,0.1110,0.1641
583,-2000,800,0.3348,0.1709,0.1639
615,-2100,1600,0.2448,0.0812,0.1636
477,-1500,1400,0.3245,0.1613,0.1632
466,-1400,1700,0.3166,0.1538,0.1628
537,-1800,1000,0.3299,0.1677,0.1622
610,-2100,1100,0.2847,0.1226,0.1621
560,-1900,900,0.3338,0.1724,0.1614
703,-2500,800,0.2801,0.1193,0.1608
616,-2100,1700,0.2356,0.0748,0.1608
656,-2300,900,0.2900,0.1294,0.1606
582,-2000,700,0.3376,0.1772,0.1604
476,-1500,1300,0.3281,0.1689,0.1592
625,-2200,200,0.3179,0.1587,0.1592
581,-2000,600,0.3386,0.1798,0.1588
602,-2100,300,0.3298,0.1713,0.1585
696,-2500,100,0.2827,0.1253,0.1574
618,-2100,1900,0.2249,0.0676,0.1573
617,-2100,1800,0.2265,0.0700,0.1565
580,-2000,500,0.3384,0.1820,0.1564
465,-1400,1600,0.3194,0.1633,0.1561
490,-1600,1100,0.3320,0.1765,0.1555
633,-2200,1000,0.2819,0.1273,0.1546
456,-1300,2000,0.3098,0.1557,0.1541
455,-1300,1900,0.3144,0.1605,0.1539
672,-2400,100,0.2894,0.1356,0.1538
559,-1900,800,0.3390,0.1859,0.1531
475,-1500,1200,0.3313,0.1787,0.1526
513,-1700,1000,0.3341,0.1818,0.1523
579,-2000,400,0.3371,0.1854,0.1517
454,-1300,1800,0.3170,0.1663,0.1507
536,-1800,900,0.3376,0.1872,0.1504
680,-2400,900,0.2708,0.1214,0.1494
601,-2100,200,0.3232,0.1740,0.1492
464,-1400,1500,0.3229,0.1751,0.1478
648,-2300,100,0.2953,0.1475,0.1478
558,-1900,700,0.3414,0.1937,0.1477
578,-2000,300,0.3342,0.1889,0.1453
557,-1900,600,0.3422,0.1975,0.1447
453,-1300,1700,0.3186,0.1753,0.1433
463,-1400,1400,0.3270,0.1847,0.1423
704,-2500,900,0.2557,0.1143,0.1414
474,-1500,1100,0.3352,0.1943,0.1409
556,-1900,500,0.3418,0.2012,0.1406
624,-2200,100,0.3005,0.1610,0.1395
462,-1400,1300,0.3306,0.1915,0.1391
489,-1600,1000,0.3374,0.1984,0.1390
535,-1800,800,0.3421,0.2033,0.1388
445,-1200,2000,0.3108,0.1735,0.1373
634,-2200,1100,0.2518,0.1156,0.1362
512,-1700,900,0.3402,0.2043,0.1359
577,-2000,200,0.3273,0.1914,0.1359
555,-1900,400,0.3405,0.2057,0.1348
444,-1200,1900,0.3159,0.1811,0.1348
461,-1400,1200,0.3334,0.2005,0.1329
452,-1300,1600,0.3206,0.1885,0.1321
635,-2200,1200,0.2360,0.1048,0.1312
534,-1800,700,0.3442,0.2133,0.1309
443,-1200,1800,0.3186,0.1881,0.1305
600,-2100,100,0.3049,0.1762,0.1287
554,-1900,300,0.3376,0.2092,0.1284
533,-1800,600,0.3447,0.2191,0.1256
636,-2200,1300,0.2206,0.0959,0.1247
473,-1500,1000,0.3397,0.2183,0.1214
511,-1700,800,0.3441,0.2239,0.1202
460,-1400,1100,0.3365,0.2165,0.1200
442,-1200,1700,0.3195,0.1995,0.1200
532,-1800,500,0.3444,0.2245,0.1199
553,-1900,200,0.3303,0.2107,0.1196
451,-1300,1500,0.3236,0.2044,0.1192
435,-1100,2000,0.3109,0.1921,0.1188
488,-1600,900,0.3424,0.2245,0.1179
576,-2000,100,0.3083,0.1928,0.1155
531,-1800,400,0.3432,0.2296,0.1136
637,-2200,1400,0.2011,0.0889,0.1122
450,-1300,1400,0.3276,0.2160,0.1116
434,-1100,1900,0.3162,0.2056,0.1106
449,-1300,1300,0.3312,0.2216,0.1096
510,-1700,700,0.3459,0.2372,0.1087
530,-1800,300,0.3401,0.2322,0.1079
642,-2200,1900,0.1670,0.0623,0.1047
448,-1300,1200,0.3336,0.2291,0.1045
657,-2300,1000,0.2244,0.1199,0.1045
433,-1100,1800,0.3188,0.2152,0.1036
441,-1200,1600,0.3198,0.2183,0.1015
427,-1000,2000,0.3103,0.2090,0.1013
509,-1700,600,0.3465,0.2459,0.1006
529,-1800,200,0.3324,0.2319,0.1005
552,-1900,100,0.3107,0.2109,0.0998
666,-2300,1900,0.1555,0.0580,0.0975
459,-1400,1000,0.3401,0.2428,0.0973
487,-1600,800,0.3456,0.2489,0.0967
690,-2400,1900,0.1496,0.0544,0.0952
472,-1500,900,0.3438,0.2489,0.0949
714,-2500,1900,0.1461,0.0515,0.0946
508,-1700,500,0.3463,0.2527,0.0936
447,-1300,1100,0.3361,0.2451,0.0910
432,-1100,1700,0.3183,0.2279,0.0904
507,-1700,400,0.3451,0.2572,0.0879
420,-900,2000,0.3093,0.2216,0.0877
638,-2200,1500,0.1691,0.0826,0.0865
506,-1700,300,0.3416,0.2575,0.0841
426,-1000,1900,0.3155,0.2326,0.0829
528,-1800,100,0.3121,0.2306,0.0815
